doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Emerson School,Enrollment,enrollment,,adopted,226.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Emerson School,Enrollment,enrollment,,proposed,233.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Engleburg School,School Budget,school_summary,4851642.0,adopted,45.6,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Engleburg School,School Budget,school_summary,5392826.0,proposed,48.2,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Engleburg School,Enrollment,enrollment,,adopted,271.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Engleburg School,Enrollment,enrollment,,proposed,275.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fairview School,School Budget,school_summary,7567213.0,adopted,65.85,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fairview School,School Budget,school_summary,7754338.0,proposed,67.15,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fairview School,Enrollment,enrollment,,adopted,608.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fairview School,Enrollment,enrollment,,proposed,600.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fernwood Montessori School,School Budget,school_summary,6801059.0,adopted,60.2,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fernwood Montessori School,School Budget,school_summary,7295638.0,proposed,61.55,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fernwood Montessori School,Enrollment,enrollment,,adopted,783.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fernwood Montessori School,Enrollment,enrollment,,proposed,767.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fifty-Third Street School,School Budget,school_summary,4540567.0,adopted,38.7,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fifty-Third Street School,School Budget,school_summary,5321875.0,proposed,44.95,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fifty-Third Street School,Enrollment,enrollment,,adopted,310.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fifty-Third Street School,Enrollment,enrollment,,proposed,306.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Forest Home Avenue School,School Budget,school_summary,9973507.0,adopted,87.75,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Forest Home Avenue School,School Budget,school_summary,10757713.0,proposed,94.19,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Forest Home Avenue School,Enrollment,enrollment,,adopted,573.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Forest Home Avenue School,Enrollment,enrollment,,proposed,529.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Franklin School,School Budget,school_summary,4150502.0,adopted,35.68,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Franklin School,School Budget,school_summary,3994616.0,proposed,34.47,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Franklin School,Enrollment,enrollment,,adopted,211.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Franklin School,Enrollment,enrollment,,proposed,158.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fratney School,School Budget,school_summary,5894259.0,adopted,49.53,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fratney School,School Budget,school_summary,6885556.0,proposed,58.6,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Fratney School,Enrollment,enrollment,,adopted,524.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Fratney School,Enrollment,enrollment,,proposed,580.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Gaenslen School,School Budget,school_summary,13012071.0,adopted,119.72,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Gaenslen School,School Budget,school_summary,13606111.0,proposed,122.3,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Gaenslen School,Enrollment,enrollment,,adopted,720.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Gaenslen School,Enrollment,enrollment,,proposed,742.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Garland School,School Budget,school_summary,6146262.0,adopted,52.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Garland School,School Budget,school_summary,6673693.0,proposed,55.25,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Garland School,Enrollment,enrollment,,adopted,504.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Garland School,Enrollment,enrollment,,proposed,473.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Golda Meir School,School Budget,school_summary,11913106.0,adopted,93.95,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Golda Meir School,School Budget,school_summary,12382442.0,proposed,94.18,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Golda Meir School,Enrollment,enrollment,,adopted,1197.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Golda Meir School,Enrollment,enrollment,,proposed,1212.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Goodrich School,School Budget,school_summary,4890736.0,adopted,43.1,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Goodrich School,School Budget,school_summary,5984736.0,proposed,51.5,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Goodrich School,Enrollment,enrollment,,adopted,341.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Goodrich School,Enrollment,enrollment,,proposed,371.0,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2026,proposed,Grant School,School Budget,school_summary,6922854.0,adopted,54.88,,,,,,,
mps-2027-proposed-school-lineitem,2,mps,2027,proposed,Grant School,School Budget,school_summary,7231072.0,proposed,58.6,,,,,,,
